plotID,speciesName,heart avg
1,Abrophyllum ornans,0.601603758
7,Acacia boormanii,0.503041879
7,Acacia dealbata,0.455614795
8,Acacia dealbata,0.553125384
9,Acacia dealbata,0.520407106
14,Acacia dealbata,0.452091876
4,Acacia floribunda,0.580556686
5,Acacia floribunda,0.523497635
6,Acacia floribunda,0.480008289
11,Acacia irrorata,0.419941579
13,Acacia leiocalyx,0.569275537
3,Acacia mearnsii,0.600985711
5,Acacia mearnsii,0.713311971
6,Acacia mearnsii,0.642039888
3,Acacia melanoxylon,0.416440093
7,Acacia melanoxylon,0.497392285
8,Acacia melanoxylon,0.516140745
14,Acacia pravissima,0.624417
1,Acmena smithii,0.771117393
15,Acmena smithii,0.658186341
13,Alphitonia excelsa,0.725166841
12,Angophora subvelutina,0.658192325
5,Backhousia myrtifolia,0.820059734
4,Bursaria spinosa,0.650078892
4,Casuarina cunninghamiana,0.643369914
5,Casuarina cunninghamiana,0.692669086
6,Casuarina cunninghamiana,0.485513009
11,Casuarina cunninghamiana,0.590095613
12,Casuarina cunninghamiana,0.649355341
13,Casuarina glauca,0.60140898
1,Ceratopetalum apetalum,0.499899061
15,Commersonia fraseri,0.371790888
8,Coprosma quadrifida,0.485016435
1,Cryptocarya glaucesens,0.496343742
1,Doryphora sassafras,0.376813
13,Duboisia myoporoides,0.414430689
11,Eucalyptus ampifolia,0.785769362
8,Eucalyptus camphora subsp. humeana,0.426201226
10,Eucalyptus camphora subsp. humeana,0.573141475
4,Eucalyptus cypellocarpa,0.623867961
5,Eucalyptus elata,0.502816615
9,Eucalyptus radiata,0.565362602
14,Eucalyptus radiata,0.5906246
15,Eucalyptus resinifera,0.599707427
7,Eucalyptus rubida,0.440198065
10,Eucalyptus stellulata,0.63697796
12,Eucalyptus tereticornis,0.713995475
15,Eucalyptus tereticornis,0.737352572
3,Eucalyptus viminalis,0.698733735
9,Eucalyptus viminalis,0.605338431
14,Eucalyptus viminalis,0.549681222
15,Glochidion ferdinandi,0.665265627
3,Leptospermum brevipes,0.700289744
6,Leptospermum brevipes,0.772674252
8,Leptospermum brevipes,0.678543674
10,Leptospermum brevipes,0.696607157
9,Leptospermum grandifolium,0.651526474
13,Lophostemon suaveolens,0.577025052
13,Melaleuca quinquenervia,0.751375108
8,Melicytus dentatus,0.541547022
11,Notelaea microcarpa var. microcarpa,0.638719277
3,Pomaderris aspera,0.563386143
8,Pomaderris aspera,0.56921463
13,Syzygium oleosum,0.58133195
13,Tree (Sportsmans 57),0.612402056
1,Tristaniopsis laurina,0.575188
2,Tristaniopsis laurina,0.66140655
5,Tristaniopsis laurina,0.645716352
1,Waterhousea floribunda,0.542954174
