plotID,MDFAnnZer,MDFAnnUnder0.1,MDFAnnHSNum,CVAnnHSNum,CVAnnHSPeak,LSMeanDur,MDFAnnLSNum,CVAnnLSNum,CVAnnLSPeak,CVAnnLSMeanDur,CVAnnMRateRise,CVAnnMRateFall,BFI,CVAnnBFI,C_MDFM,M_MDFM,C_MinM,M_MinM,HSPeaknorm,LSPeaknorm,MRateRisenorm,MRateFallnorm,MA.7daysMinMeannorm,AS20YrARInorm,category,catname
1,17.533,31.8,4.133,0.654,0.509,9.2,2.033,2.022,3.317,1.277,0.744,0.959,0.124,0.483,0.055,0.084,0.447,0.054,21.01450758,0,4.969491109,1.891060138,0.009514845,525.0233881,3,unpredictable intermittent
2,0,0.103,3.552,0.798,0.785,17.667,1.103,1.655,0.455,1.101,0.948,1.243,0.215,0.536,0.076,0.078,0.251,0.056,29.81145372,0.011290118,1.494359315,0.520657723,0.046477142,208.5875848,2,unpredictable baseflow
3,0,0,3.588,0.806,0.67,15.9,1.294,2.1,0.284,0.551,1.147,0.978,0.308,0.413,0.09,0.119,0.194,0.088,24.56407566,0.010389458,0.966674493,0.336065213,0.090320782,181.6280339,2,unpredictable baseflow
4,4.233,8.8,3.833,0.744,0.772,24.909,0.8,2.947,0.999,0.783,1.176,1.464,0.229,0.443,0.068,0.064,0.224,0.05,22.34967317,0.001654279,1.204441279,0.385090813,0.030615644,166.3964525,3,unpredictable intermittent
5,3.6,5.1,3.4,0.827,1.065,26.143,0.733,2.081,1.38,0.481,1.17,1.335,0.274,0.456,0.091,0.067,0.215,0.047,22.84350952,0.002364546,1.204744745,0.374323151,0.066770019,202.4580773,3,unpredictable intermittent
6,0.933,2.159,3,0.77,0.654,20.5,1.067,1.858,0.879,0.884,0.917,0.938,0.334,0.236,0.11,0.141,0.192,0.092,18.08030549,0.008084065,0.547149488,0.231004714,0.073051377,126.1955414,2,unpredictable baseflow
7,0,0,5.593,0.562,0.43,9.018,2.037,1.404,0.174,0.608,0.43,0.482,0.553,0.137,0.307,0.153,0.313,0.175,5.684781234,0.121824329,0.400305235,0.191219002,0.214145383,30.54283835,1,stable winter baseflow
8,0,0,2.8,0.842,0.305,13.725,1.367,1.716,0.148,0.682,0.549,0.42,0.529,0.18,0.276,0.187,0.321,0.184,5.988522342,0.125181558,0.196552354,0.070785172,0.207296532,17.93922263,1,stable winter baseflow
9,0,0,3.167,0.77,0.399,13.366,1.433,1.667,0.209,0.556,0.562,0.482,0.483,0.195,0.191,0.206,0.232,0.186,6.482178852,0.066841224,0.263394803,0.088921878,0.138782959,19.16928389,1,stable winter baseflow
10,0,0,3.5,0.827,0.235,19.571,0.967,1.741,0.162,0.541,0.537,0.413,0.551,0.171,0.277,0.163,0.321,0.162,5.380620351,0.123200653,0.248419284,0.088600588,0.224319374,20.07711304,1,stable winter baseflow
11,0.034,0.138,4.931,0.82,1.47,13.675,1.414,1.168,0.312,0.888,1.035,0.956,0.291,0.344,0.106,0.076,0.21,0.038,17.8173898,0.018918939,0.945507597,0.427625106,0.048998475,196.0393325,2,unpredictable baseflow
12,2.7,3.167,4.933,0.841,1.226,10.148,1.933,1.394,0.558,0.654,0.987,1.02,0.271,0.411,0.103,0.081,0.19,0.066,15.817581,0.007068894,0.977465583,0.465656895,0.056336043,187.5979706,2,unpredictable baseflow
13,57.8,69.267,4.867,0.727,0.671,61.929,1.1,1.335,0,0.768,0.806,0.973,0.14,0.585,0.136,0.093,0.439,0.065,24.53139717,0,1.872240222,0.800661345,0.006296135,193.6856358,3,unpredictable intermittent
14,0,0,4.3,0.653,0.516,14.811,1.267,1.856,0.199,1.213,0.702,0.607,0.5,0.187,0.247,0.172,0.319,0.14,7.381069205,0.106671233,0.40433721,0.140614516,0.176752498,21.69610639,1,stable winter baseflow
15,8.467,21.067,5.933,0.475,0.637,20.296,0.967,1.45,0.492,0.819,1.082,1.189,0.146,0.553,0.052,0.082,0.385,0.042,22.25968361,0.000261885,0.346989549,0.117954678,0.004468414,44.00160405,3,unpredictable intermittent
