metric,p
AS20YrARI,0.005616757
BFI,0.013300928
C_MDFM,0.010755289
C_MinM,0.008665291
CVAnnBFI,0.010224519
CVAnnHSNum,0.387498557
CVAnnHSPeak,0.12421931
CVAnnLSMeanDur,0.711809259
CVAnnLSNum,0.425219376
CVAnnLSPeak,0.371133961
CVAnnMRateFall,0.007419386
CVAnnMRateRise,0.007314872
HSPeak,0.003987525
LSMeanDur,0.25193608
LSPeak,0.006098683
M_MDFM,0.015603999
M_MinM,0.078392845
MA.7daysMinMean,0.017273354
MDFAnnHSNum,0.678588279
MDFAnnLSNum,0.025287232
MDFAnnUnder0.1,0.538144081
MDFAnnZer,0.61109257
MRateFall,0.064939958
MRateRise,0.022648599
