"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value25","M_MinM",0.0783928448349161,0.2192,0.225805833690824,0.21965,0.125428551735866,0.301074444921099
"value24","C_MinM",0.00398054858059806,0.48389,0.00866529118021055,0.54679,0.0254378935181652,0.0645317349588993
"value23","AS20YrARI",0.00561675650229298,0.45764,0.024455145150114,0.46124,0.0254378935181652,0.0728588265010647
"value22","MA.7daysMinMean",0.0172733544317693,0.36392,0.0489037202285887,0.39528,0.037687318760224,0.106699025953285
"value21","M_MDFM",0.0156039991269149,0.37291,0.0601984756570304,0.37397,0.0374495979045957,0.111135647366825
"value20","C_MDFM",0.00376558273984418,0.48802,0.0107552891598166,0.53017,0.0254378935181652,0.0645317349588993
"value19","CVAnnBFI",0.00924831355925697,0.41757,0.0102245185353235,0.53412,0.0277449406777709,0.0645317349588993
"value18","BFI",0.0133009279353016,0.38683,0.0232861496570985,0.46562,0.0354691411608042,0.0728588265010647
"value17","CVAnnMRateFall",0.00741938560946486,0.43557,0.0239974597774729,0.46293,0.0254378935181652,0.0728588265010647
"value16","CVAnnMRateRise",0.00731487173799846,0.43672,0.00757677142494201,0.55682,0.0254378935181652,0.0645317349588993
"value15","MRateFall",0.0649399575549234,0.23819,0.0920454719934692,0.32805,0.111325641522726,0.147272755189551
"value14","MRateRise",0.02264859883369,0.33947,0.0353011258783488,0.42725,0.04529719766738,0.0847227021080372
"value13","CVAnnLSMeanDur",0.71180925850737,0.01085,0.840666341266756,0.028512,0.71180925850737,0.840666341266756
"value12","CVAnnLSPeak",0.371133961223272,0.061924,0.185410134493299,0.24487,0.489471860936673,0.26175548399054
"value11","CVAnnLSNum",0.42521937630415,0.049549,0.674430344272677,0.063539,0.51026325156498,0.703753402719315
"value10","MDFAnnLSNum",0.0252872322587918,0.32933,0.0691816807233012,0.35928,0.0466841210931542,0.118597166954231
"value9","LSPeak",0.00609868313344318,0.45119,0.0273220599378993,0.45119,0.0254378935181652,0.0728588265010647
"value8","LSMeanDur",0.251936079784162,0.09957,0.058941795898812,0.37616,0.355674465577641,0.111135647366825
"value7","CVAnnHSPeak",0.124219310325492,0.17204,0.101411098713742,0.31711,0.186328965488237,0.152116648070613
"value6","CVAnnHSNum",0.387498556574866,0.057937,0.648578751084626,0.06962,0.489471860936673,0.703753402719315
"value5","MDFAnnHSNum",0.678588279353932,0.013632,0.356661799830465,0.15788,0.708092117586711,0.450520168206904
"value4","HSPeak",0.00398752505339507,0.48376,0.0182677481642844,0.48681,0.0254378935181652,0.0728588265010647
"value3","MDFAnnUnder0.1",0.538144081368659,0.029838,0.626840075751986,0.074891,0.615021807278467,0.703753402719315
"value2","MDFAnnZer",0.611092570349462,0.020457,0.640819313021678,0.071484,0.666646440381231,0.703753402719315
