metric,p,r2,model,padj
M_MinM,0.062275924,0.24239,L,0.099641478
C_MinM,0.009177556,0.54243,Q,0.031377866
AS20YrARI,0.004967039,0.46714,L,0.031377866
MA.7daysMinMean,0.016500632,0.36798,L,0.03592723
M_MDFM,0.013074111,0.38831,L,0.031377866
C_MDFM,0.011861253,0.52245,Q,0.031377866
CVAnnBFI,0.008407095,0.54907,Q,0.031377866
BFI,0.011864849,0.39663,L,0.031377866
CVAnnMRateFall,0.007426925,0.43549,L,0.031377866
CVAnnMRateRise,0.008465709,0.54855,Q,0.031377866
MRateFall,0.053038525,0.25835,L,0.090923186
MRateRise,0.017963615,0.36043,L,0.03592723
CVAnnLSMeanDur,0.732477127,0.0092967,L,0.746909928
CVAnnLSPeak,0.38992439,0.057364,L,0.492869284
CVAnnLSNum,0.454216318,0.043779,L,0.545059582
MDFAnnLSNum,0.029869199,0.31379,L,0.055143137
LSPeak,0.006424673,0.44708,L,0.031377866
LSMeanDur,0.230311262,0.10862,L,0.325145311
CVAnnHSPeak,0.116808981,0.17838,L,0.175213472
CVAnnHSNum,0.390188183,0.057302,L,0.492869284
MDFAnnHSNum,0.746909928,0.0082903,L,0.746909928
HSPeak,0.003898112,0.48545,L,0.031377866
MDFAnnUnder0.1,0.486924866,0.037893,L,0.556485561
MDFAnnZer,0.552698202,0.027782,L,0.602943493
